new double[] { 0.76, 0.01, 0.77, -6.65, -38.02, -2.2, -1.32, -6.88, 21.24, 54 },
new double[] { 0.88, -0.01, 0.58, -19.29, -44.43, -9.64, -3.22, -5.27, 20.8, 50 },
new double[] { 0.8, 0.01, 0.7, -9.22, -24.96, -9.4, -3.08, -5.42, 22.12, 54 },
new double[] { 0.83, 0.02, 0.59, 23.13, -44.68, -10.5, -4.39, -6.15, 22.27, 48 },
new double[] { 0.87, 0.04, 0.55, 2.14, -32.47, -5.8, -4.69, -7.32, 22.27, 52 },
new double[] { 0.87, 0.02, 0.53, -1.4, -42.91, -4.46, -5.57, -5.86, 22.85, 48 },
new double[] { 0.89, 0.02, 0.5, -1.4, -20.39, -2.93, -6.74, -5.86, 21.68, 50 },
new double[] { 0.89, 0.04, 0.49, 2.44, -18.92, -2.26, -6.59, -7.18, 22.41, 48 },
new double[] { 0.9, 0.02, 0.47, 1.46, -25.45, -0.85, -6.45, -6.74, 24.02, 52 },
new double[] { 0.91, 0.02, 0.47, -5.07, -19.29, 1.28, -6.88, -6.01, 22.41, 48 },
new double[] { 0.94, 0.03, 0.44, -3.6, -21.18, -1.46, -7.18, -6.01, 23.29, 61 },
new double[] { 0.92, 0.02, 0.44, 0.92, -19.41, -0.06, -7.91, -7.03, 22.56, 52 },
new double[] { 0.94, 0.02, 0.38, -1.22, -17.82, -1.77, -8.06, -6.3, 23.88, 41 },
new double[] { 0.96, 0.03, 0.41, 0.55, -24.84, 2.14, -8.5, -6.74, 23.73, 50 },
new double[] { 0.96, 0.02, 0.37, -1.46, -28.75, -0.24, -7.91, -7.32, 23.73, 61 },
new double[] { 0.97, 0.01, 0.34, 1.16, -25.21, -1.77, -8.94, -6.88, 24.46, 55 },
new double[] { 0.98, 0.03, 0.33, -0.67, -28.93, 0.79, -9.23, -6.88, 23, 38 },
new double[] { 1, 0.02, 0.3, 2.32, -33.2, 1.28, -10.11, -7.18, 25.63, 49 },
new double[] { 1, 0.03, 0.27, -0.43, -27.34, -1.77, -10.84, -7.62, 24.02, 60 },
new double[] { 1, 0.03, 0.23, -0.43, -21.3, -4.27, -10.69, -7.18, 24.46, 50 },
new double[] { 1.01, 0.03, 0.24, -3.66, -44.74, -0.85, -12.89, -6.74, 24.9, 52 },
new double[] { 1.02, 0.02, 0.18, -0.12, -36.62, -1.83, -11.57, -7.76, 26.81, 51 },
new double[] { 1.02, 0.03, 0.13, 2.5, -49.93, 1.22, -12.45, -8.06, 25.93, 49 },
new double[] { 1.03, 0.02, 0.07, 0, -31.01, -3.11, -13.77, -8.2, 27.25, 55 },
new double[] { 0.99, 0.04, 0.03, 0.24, -38.27, 2.87, -15.82, -7.62, 27.83, 48 },
new double[] { 1.02, 0, 0.01, 0.61, -19.78, -0.12, -15.23, -8.79, 28.42, 60 },
new double[] { 1, 0.03, 0, -0.79, -31.8, 1.1, -16.26, -8.06, 29.44, 46 },
new double[] { 1.03, 0, -0.02, -1.71, -31.68, 6.23, -15.67, -7.18, 28.56, 53 },
new double[] { 1.02, 0.02, -0.07, -0.73, -31.62, 4.39, -15.67, -8.06, 28.27, 59 },
new double[] { 1.03, 0.01, -0.1, -0.85, -31.98, 5.31, -17.29, -8.5, 30.76, 46 },
new double[] { 1, 0, -0.11, 0.92, -16.78, -0.18, -16.11, -7.62, 31.05, 53 },
new double[] { 1.01, 0.01, -0.14, -2.14, -28.93, 4.39, -16.99, -8.5, 30.76, 56 },
new double[] { 1.01, -0.02, -0.17, 2.75, -18.37, 1.1, -17.14, -8.35, 30.62, 53 },
new double[] { 1, -0.01, -0.21, 0.55, -14.22, -2.14, -16.26, -8.06, 32.67, 48 },
new double[] { 0.98, 0, -0.23, 0.18, -8.61, 2.75, -18.02, -7.47, 32.96, 54 },
new double[] { 0.99, -0.01, -0.25, -0.98, -2.2, 1.59, -16.99, -7.91, 31.93, 49 },
new double[] { 0.97, -0.01, -0.23, 2.69, 1.89, -2.93, -17.43, -7.76, 31.79, 48 },
new double[] { 1.01, -0.02, -0.22, 0.98, -8.06, 1.34, -17.58, -7.91, 31.93, 60 },
